id,item_name,water,calories,calcium,carbs,cholesterol,iron,fiber,monounsaturated_fats,polyunsaturated_fats,potassium,proteins,saturated_fats,sodium,sugar,trans_fats,fats,vit_a,vit_c,vit_d,ala,found,Unnamed: 22
60,asian pear,88.25,42.0,4.0,10.65,0.0,0.0,3.6,0.049,0.055,121.0,0.5,0.012,0.0,7.05,0.0,0.23,0.0,3.8,0.0,0.0,,
61,asparagus,93.22,20.0,24.0,3.88,0.0,2.14,2.1,0.003,0.069,202.0,2.2,0.043,0.002,1.88,0.0,0.12,397.0,5.6,0.0,0.0,,
63,astragalus root,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
65,avocado,72.33000000000001,166.6666667,6.0,8.265,0.0,0.275,6.683333334,0.0,0.0,495.8333334,1.666666666,2.396333334,0.006833333334,0.33,0.0,15.33,0.0,9.0,0.0,0.0823,avocado,
66,baby arugula,91.71000000000001,29.41176471,176.4705882,3.529411765,0.0,1.176470588,1.176470588,0.0,0.0,0.0,2.352941176,0.0,0.02941176471,2.352941176,0.0,0.588235294,2352.941176,14.11764706,0.0,0.0,,
68,baby carrot,90.35,35.0,32.0,8.24,0.0,0.89,2.35,0.007,0.065,237.0,0.64,0.023,0.078,4.76,0.0,0.13,7240.0,5.5,0.0,0.0,,
70,baby lima beans,67.17,127.7650603,40.09638554,23.86819277,0.0,1.827409639,5.712048193,0.0,0.0,285.0,7.019457832,0.0365,0.1530783133,2.019819277,0.0,0.16,7.5,10.47168675,0.0,0.0,,
71,baby spinach,91.4,23.0,99.5,3.63,0.0,2.705,2.2,0.01,0.165,558.0,2.86,0.063,0.079,0.42,0.0,0.39,4934.5,28.15,0.0,0.0,,
73,bacon,44.24,479.0,8.0,1.355,88.0,0.925,0.0,17.9795,5.6005,381.5,24.83,13.5175,1.486,0.5,0.0665,40.735,24.0,0.0,0.2,0.2243,bacon,
74,bacon bits,8.0,488.0,50.5,14.3,32.14285715,0.36,5.1,0.0,0.0,72.5,37.42857143,5.598928572,2.599285715,0.0,0.0,27.23571429,0.0,0.95,0.0,0.0,,
76,bacon fat,0.0,897.0,0.0,0.0,95.0,0.0,0.0,44.874,11.144,0.0,0.0,39.004,0.15,0.0,0.0,99.5,0.0,0.0,2.5,0.0,,
79,baked bean,72.0,94.0,34.0,21.14,0.0,1.19,4.1,0.095,0.121,224.0,4.75,0.071,0.343,7.96,0.0,0.37,5.0,0.0,0.0,0.0548,baked bean,
81,baking chocolate,1.34,642.0,101.0,28.42,2.0,17.4,16.6,16.068,1.551,830.0,14.32,32.277,0.024,0.91,0.0,52.31,0.0,0.0,0.0,0.0653,baking chocolate,
82,baking mix,5.0,414.0,139.5,62.95,1.0,2.635,2.3,0.0,0.0,81.5,7.75,3.2325,1.1505,7.075,0.0,13.325,0.0,0.0,0.0,0.0,,
83,baking powder,5.0,53.0,5875.9999,27.7,0.0,11.02,0.2,0.0,0.0,20.0,0.0,0.0,10.599999799999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
84,baking soda,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3599997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
85,balsamic vinegar,76.44999999999999,88.0,16.0,17.015,0.0,0.405,0.0,0.0,0.0,84.0,0.255,0.0,0.015,15.225,0.0,0.0,0.0,0.0,0.0,0.0,,
86,bamboo shoot,94.32000000000001,23.0,10.5,4.21,0.0,0.41,1.8,0.008,0.156,306.5,2.16,0.0805,0.0055,2.445,0.0,0.35,10.5,2.55,0.0,0.0,,
87,banana,74.91,89.0,5.0,22.84,0.0,0.26,2.6,0.032,0.073,358.0,1.09,0.112,0.001,12.23,0.0,0.33,33.5,8.7,0.0,0.0,,
89,banana baby food,74.9754456,80.0,0.0,19.47,0.0,0.32,0.9,0.0,0.0,0.0,0.88,0.0,0.0,15.04,0.0,0.44,26.4,10.6,0.0,0.0,,
90,banana blueberry yogurt,85.1,89.0,5.0,22.84,0.0,0.26,2.6,0.032,0.073,358.0,1.09,0.112,0.001,12.23,0.0,0.33,64.0,8.7,0.0,0.0,,
91,banana cake mix,4.1000000000000005,299.0,23.0,56.54,30.0,1.06,1.3,3.257,2.027,151.0,3.46,1.479,0.264,39.5,0.0,7.27,303.0,2.6,0.0,0.0,,
92,banana chips,4.3,519.0,18.0,58.4,0.0,1.25,7.7,0.975,0.315,268.0,1.15,14.485,0.003,17.67,0.0,33.6,43.5,6.3,0.0,0.0,,
93,banana cream pudding mix,4.1000000000000005,539.0,199.0,59.24,14.0,0.24,0.0,9.004,1.0,286.0,5.87,19.412,0.09,59.08,0.0,32.09,30.0,0.5,0.0,0.0,,
94,banana extract,75.86106000000001,13.5,7.0,2.675,0.0,0.23,1.7,0.0135,0.1215,128.0,0.83,0.024,0.0065,0.975,0.0,0.225,8.5,41.35,0.0,0.0,,
95,banana flavoring,75.86106000000001,29.0,26.0,9.32,0.0,0.6,2.8,0.011,0.089,138.0,1.1,0.039,0.002,2.5,0.0,0.3,22.0,53.0,0.0,0.0,,
96,banana ice cream,63.4343,193.675,116.2375,23.9335,38.15,0.1299,0.86625,2.6925,0.40885,214.4125,3.29915,6.1197,0.07008750000000001,20.9734,0.0,9.9264,246.4375,1.30875,0.0825,0.0,,
97,banana nut crunch cereal,5.6000000000000005,390.0,34.0,72.88,0.0,3.8444,11.9,3.39,3.39,356.0,10.17,0.85,0.241,16.95,0.0,8.47,381.3,0.0,0.0,0.0,,
99,banana pepper,91.81,27.0,14.0,5.35,0.0,0.46,3.4,0.027,0.243,256.0,1.66,0.048,0.013,1.95,0.0,0.45,178.5,82.7,0.0,0.0,,
101,banana yogurt,85.1,99.0,138.0,18.64,0.0,0.06,0.0,0.316,0.033,177.0,3.98,0.742,0.053,18.64,0.0,1.15,40.0,0.6,0.3,0.0,,
102,barbecue sauce,54.71,172.0,33.0,40.77,0.0,0.64,0.9,0.082,0.101,232.0,0.82,0.045,1.027,33.24,0.0,0.63,11.0,0.6,0.0,0.0246,barbecue sauce,
103,barley,10.09,353.0,31.0,75.6,0.0,3.05,16.45,0.222,0.834,366.0,11.195,0.363,0.0105,0.8,0.0,1.73,11.5,0.0,0.0,0.0,,
104,barley flour,12.11,355.8333334,16.0,75.59333334,0.0,3.006666667,13.38333334,0.0,0.0,154.5,10.25,0.1675,0.007,0.4,0.0,0.8,0.0,0.0,0.0,0.0,,
106,basmati rice,11.62,365.0,28.0,79.95,0.0,4.31,1.3,0.206,0.177,115.0,7.13,0.18,0.005,0.12,0.0,0.66,0.0,0.0,0.0,0.0,,
107,bay leaf,5.4399999999999995,313.0,834.0,74.97,0.0,43.0,26.3,1.64,2.29,529.0,7.61,2.28,0.023,0.0,0.0,8.36,3247.0,46.5,0.0,0.0,,
108,bean flour,10.280000000000001,387.0,45.0,57.82,0.0,4.86,10.8,1.504,2.983,846.0,22.39,0.693,0.064,10.85,0.0,6.69,2.0,0.0,0.0,0.0,,
109,bean noodle,79.782756,170.0,16.0,45.0,0.0,0.42,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
111,bean sprouts,90.4,30.0,11.5,5.94,0.0,0.905,1.8,0.022,0.058,149.0,3.04,0.046,0.006,4.13,0.0,0.18,1.0,6.6,0.0,0.0,,
114,bee pollen,4.0,314.0,81.0,43.5,0.0,6.3,7.7,0.495,0.54,222.0,24.1,3.465,0.005,35.8,0.0,4.9,0.0,50.0,0.0,0.0,,
115,beef,62.019999999999996,261.0,8.5,0.0,76.5,2.28,0.0,7.8865,0.669,310.5,22.505,7.3205,0.221,0.0,0.0,18.345,0.0,0.0,0.0,0.0,,
116,beef and vegetable soup,80.5453,101.6426,17.6814,6.2936,18.6512,0.9668,1.4291,2.762,0.3538,279.2943,6.6841,1.8695,0.0377375,2.101,0.0,5.6548,79.8013,8.6375,0.0643,0.0,beef and vegetable soup,
117,beef base,60.041900000000005,250.0,0.0,16.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,16.66666667,0.0,0.0,0.0,0.0,,
118,beef bone,62.019999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
119,beef bouillon cube,3.27,174.0675676,30.0,12.6,5.0,0.5,0.0,1.808,0.166,223.0,7.985,2.16,25.297297299999997,8.355,0.0,20.7,0.0,0.0,0.0,0.0,,
120,beef bouillon powder,3.27,438.0,187.0,64.88,13.0,1.03,0.2,5.365,4.485,309.0,16.7,3.433,1.067,14.47,0.0,13.89,25.0,1.1,0.0,0.0,,
